"REF_DATE","GEO","DGUID","Income percentiles","Age group","Tax and transfer type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1117910","","","","0"
"2003","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1135285","","","","0"
"2004","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1153775","","","","0"
"2005","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1169140","","","","0"
"2006","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1182920","","","","0"
"2007","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1199930","","","","0"
"2008","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1219080","","","","0"
"2009","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1235215","","","","0"
"2010","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1249410","","","","0"
"2011","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1268470","","","","0"
"2012","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1283270","","","","0"
"2013","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1301685","","","","0"
"2014","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1319310","","","","0"
"2015","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1331650","","","","0"
"2016","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1346465","","","","0"
"2017","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1364725","","","","0"
"2018","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1390105","","","","0"
"2019","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1410880","","","","0"
"2020","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1415225","","","","0"
"2021","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1435760","","","","0"
"1992","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","10756100","","","","0"
"1993","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","13503600","","","","0"
"1994","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","12826800","","","","0"
"1995","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","12980000","","","","0"
"1996","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","14977900","","","","0"
"1997","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","21266000","","","","0"
"1998","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","19391000","","","","0"
"1999","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","4508100","","","","0"
"2000","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","4818900","","","","0"
"2001","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","7052700","","","","0"
"2002","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","5695200","","","","0"
"2003","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","5511000","","","","0"
"2004","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","6145400","","","","0"
"2005","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","9315700","","","","0"
"2006","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","10331600","","","","0"
"2007","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","13177400","","","","0"
"2008","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","12058100","","","","0"
"2009","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","8710900","","","","0"
"2010","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","12189200","","","","0"
"2011","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","18077900","","","","0"
"2012","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","20237500","","","","0"
"2013","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","5578000","","","","0"
"2014","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","5610800","","","","0"
"2015","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","8779100","","","","0"
"2016","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","8998200","","","","0"
"2017","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","9915600","","","","0"
"2018","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","8551200","","","","0"
"2019","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","13063800","","","","0"
"2020","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","21196500","","","","0"
"2021","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate taxes / transfers","Dollars","81","units","0","v121155899","1.2.1.1.2","19570000","","","","0"
"1992","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","699242300","","","","0"
"1993","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","573116900","","","","0"
"1994","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","594518200","","","","0"
"1995","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","608534000","","","","0"
"1996","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","596706000","","","","0"
"1997","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","618813100","","","","0"
"1998","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","644229600","","","","0"
"1999","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","648355000","","","","0"
"2000","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","693945000","","","","0"
"2001","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","758892400","","","","0"
"2002","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","701594200","","","","0"
"2003","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","657603900","","","","0"
"2004","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","697738300","","","","0"
"2005","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","770044800","","","","0"
"2006","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","970624200","","","","0"
"2007","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1110969900","","","","0"
"2008","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1122402400","","","","0"
"2009","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","926725200","","","","0"
"2010","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1074020300","","","","0"
"2011","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1096093300","","","","0"
"2012","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1072241100","","","","0"
"2013","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1063133900","","","","0"
"2014","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1207182600","","","","0"
"2015","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1446068100","","","","0"
"2016","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1487369600","","","","0"
"2017","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1567333800","","","","0"
"2018","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1721558800","","","","0"
"2019","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","1899315900","","","","0"
"2020","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","3963253500","","","","0"
"2021","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Aggregate modified total income","Dollars","81","units","0","v121155900","1.2.1.1.3","2335744800","","","","0"
"1992","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.9","","","","1"
"1993","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.0","","","","1"
"1994","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.0","","","","1"
"1995","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.0","","","","1"
"1996","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.1","","","","1"
"1997","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.3","","","","1"
"1998","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.4","","","","1"
"1999","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2000","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2001","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.5","","","","1"
"2002","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2003","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2004","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2005","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.6","","","","1"
"2006","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.6","","","","1"
"2007","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.6","","","","1"
"2008","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.5","","","","1"
"2009","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.4","","","","1"
"2010","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.7","","","","1"
"2011","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.2","","","","1"
"2012","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","1.3","","","","1"
"2013","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2014","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2015","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2016","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2017","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2018","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2019","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.2","","","","1"
"2020","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.3","","","","1"
"2021","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Mean effective rate","Percent","239","units","0","v121055438","1.2.1.1.4","0.3","","","","1"
"1992","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1993","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1994","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1995","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1996","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1997","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1998","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"1999","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2000","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2001","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2002","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2003","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2004","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2005","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2006","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
"2007","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","5th percentile rate","Percent","239","units","0","v121055439","1.2.1.1.5","0.0","","","","1"
