Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Interest Rate,Unemployment Rate,Immigration Num,All-items CPI,All industries GDP,Active businesses,Opening businesses,Closing businesses
2015-10,183.9,188.0,175.5,191.1,174.9,169.2,441000,489500,364600,578700,352800,291100,0.5,7.0,27245.0,127.2,"1,912,301",880484.0,41224.0,39083.0
2015-11,185.8,190.1,177.0,193.4,176.7,170.8,445600,494900,367600,585800,356500,293700,0.5,7.1,23960.0,127.1,"1,916,787",880830.0,43090.0,38530.0
2015-12,187.7,192.0,178.6,195.5,178.4,172.2,450100,499900,371000,592100,359900,296100,0.51,7.2,28100.0,126.5,"1,918,886",879103.0,38152.0,39329.0
2016-01,190.1,194.7,180.3,198.6,179.9,173.7,455800,507100,374400,601600,362800,298800,0.52,7.3,33040.0,126.8,"1,930,434",889778.0,42690.0,38188.0
2016-02,192.7,197.7,182.7,201.8,181.3,175.8,462200,514800,379500,611200,365700,302300,0.5,7.3,37705.0,127.1,"1,924,854",880768.0,40034.0,46529.0
2016-03,195.5,201.0,185.5,205.2,183.9,177.0,468700,523300,385300,621600,370900,304400,0.5,7.2,35650.0,127.9,"1,917,766",880144.0,40842.0,40487.0
2016-04,198.7,204.6,188.7,209.0,186.9,179.0,476600,532700,391900,633000,376900,307800,0.5,7.3,42100.0,128.3,"1,922,103",881620.0,41861.0,39131.0
2016-05,202.5,208.6,192.3,213.1,190.4,181.6,485700,543300,399400,645600,384100,312400,0.5,7.0,38290.0,128.8,"1,911,266",881280.0,39992.0,39753.0
2016-06,206.0,212.3,195.2,217.0,193.8,185.1,494000,552800,405500,657300,390900,318400,0.51,6.9,42005.0,129.1,"1,920,490",881577.0,38126.0,38041.0
2016-07,209.1,215.5,197.4,220.6,197.3,187.6,501400,561100,410100,668200,397900,322600,0.51,6.9,33450.0,128.9,"1,931,887",880693.0,44598.0,44537.0
2016-08,211.3,217.7,199.2,223.0,200.1,189.4,506600,566900,413700,675500,403600,325800,0.5,6.9,26655.0,128.7,"1,936,423",881263.0,40410.0,40799.0
2016-09,213.1,219.6,200.4,225.2,202.3,191.6,511100,571900,416200,682100,408000,329500,0.5,7.0,25325.0,128.8,"1,941,422",880695.0,36573.0,39777.0
2016-10,214.3,220.8,202.0,226.1,203.8,193.0,513900,574900,419500,684900,411000,331900,0.5,6.9,21410.0,129.1,"1,940,404",880643.0,41986.0,41230.0
2016-11,215.8,222.0,203.3,227.3,206.4,195.4,517500,578100,422200,688400,416400,336100,0.49,6.8,19475.0,128.6,"1,947,701",881524.0,47333.0,41964.0
2016-12,217.1,223.0,204.5,228.3,207.8,198.3,520500,580700,424700,691400,419100,341000,0.49,6.9,23160.0,128.4,"1,953,152",884132.0,42168.0,40377.0
2017-01,220.2,226.2,206.6,231.9,212.5,201.3,528000,589100,429200,702300,428600,346300,0.49,6.8,26605.0,129.5,"1,962,254",885925.0,40167.0,41382.0
2017-02,225.2,231.7,211.7,237.6,217.5,204.4,540100,603400,439800,719700,438700,351500,0.49,6.6,28170.0,129.7,"1,969,304",888975.0,41297.0,37050.0
2017-03,230.9,237.9,217.1,244.0,221.4,211.0,553800,619400,450900,739000,446600,363000,0.49,6.7,36800.0,129.9,"1,978,060",884976.0,41116.0,44997.0
